frame_index,id_13_team_0,id_10_team_0,id_2_team_0,id_4_team_0,id_16_team_0,id_281_team_0,id_5_team_0,id_1_team_0,id_45_team_0,id_20_team_0,id_17_team_0,id_22_team_1,id_14_team_1,id_11_team_1,id_3_team_1,id_9_team_1,id_6_team_1,id_12_team_1,id_8_team_1,id_15_team_1,id_7_team_1,id_18_team_1,ball
440,"7615.87,4337.46","7637.95,3072.91","7516.6,5513.44","6628.13,5464.8","6387.99,4596.36","10394.32,3874.07","7643.57,5876.05","6677.83,6334.93","7557.81,2358.97","5379.41,3614.54","4634.48,5638.98","3085.12,4987.08","4784.21,1681.67","5032.17,5134.1","4931.13,6447.91","7275.9,2375.08","6343.23,5381.57","8056.69,6031.87","7149.52,6763.06","7840.62,1260.65","8255.18,5532.54","7818.46,3106.4","3193.98,5099.41"
441,"7528.69,4353.91","7558.75,3051.72","7440.85,5527.72","6543.46,5416.82","6294.9,4582.44","10394.32,3874.07","7575.37,5862.28","6599.44,6322.94","7486.03,2315.36","5305.58,3567.52","4483.18,5565.69","3083.07,4985.53","4711.17,1616.59","4972.76,5076.16","4831.52,6493.48","7204.9,2370.71","6272.57,5318.57","7992.79,5995.71","7108.51,6766.66","7760.58,1211.65","8182.6,5548.84","7738.99,3083.66","3183.66,5133.23"
442,"7467.41,4330.43","7488.43,3027.14","7368.37,5538.08","6459.23,5409.21","6224.85,4554.77","10394.32,3874.07","7527.44,5824.06","6519.07,6306.21","7423.2,2272.82","5203.91,3467.74","4362.4,5537.54","3074.41,5020.38","4640.69,1632.45","4907.9,5056.96","4757.1,6495.26","7156.32,2310.65","6214.44,5303.34","7937.19,5982.22","7061.79,6780.89","7690.62,1141.0","8118.14,5562.51","7669.95,3058.18","3173.35,5167.04"
443,"7361.59,4319.97","7378.12,2959.88","7286.13,5497.3","6397.31,5363.64","6151.28,4528.57","10394.32,3874.07","7473.54,5773.6","6451.48,6279.3","7309.38,2198.99","5161.0,3464.27","4279.99,5565.0","3092.04,5076.17","4627.61,1611.06","4876.81,5010.76","4702.22,6570.48","7053.24,2276.77","6160.22,5271.31","7836.46,5905.32","7017.52,6771.73","7553.04,1086.42","8007.11,5506.99","7542.87,2988.03","3163.04,5200.85"
444,"7305.59,4280.05","7316.48,2923.46","7241.0,5506.94","6335.34,5371.74","6100.18,4504.0","10394.32,3874.07","7419.65,5723.14","6380.89,6286.64","7237.07,2207.76","5098.36,3396.9","4199.17,5569.13","3110.19,5115.42","4567.81,1561.59","4846.73,5001.92","4656.54,6597.49","7001.37,2231.87","6127.49,5231.55","7807.36,5867.48","7002.77,6778.81","7470.18,1069.63","7974.4,5492.09","7480.14,2949.22","3152.72,5234.67"
445,"7252.67,4256.76","7256.29,2882.91","7201.65,5514.79","6273.05,5333.5","6043.13,4495.67","10394.32,3874.07","7375.3,5707.93","6315.72,6259.73","7182.31,2135.58","5056.93,3377.48","4104.19,5573.84","3115.48,5141.34","4529.82,1589.52","4802.45,4957.65","4594.74,6625.85","6950.77,2215.93","6074.11,5217.87","7757.88,5850.35","6976.59,6780.02","7410.06,999.36","7910.51,5504.79","7412.0,2984.57","3138.35,5241.62"
446,"7154.56,4243.68","7173.74,2812.29","7104.3,5593.7","6191.61,5349.17","5979.57,4503.41","10394.32,3874.07","7286.01,5692.44","6212.95,6300.35","7093.11,2041.75","5014.82,3362.26","4094.6,5626.5","3190.57,5207.74","4457.24,1452.09","4795.84,4969.76","4571.49,6664.24","6870.02,2107.93","6027.12,5224.63","7659.53,5798.31","6917.78,6794.32","7301.43,834.87","7815.6,5477.4","7318.51,2884.29","3160.32,5217.42"
447,"7122.94,4247.51","7150.62,2884.26","7089.23,5602.23","6122.54,5341.56","5901.37,4488.91","10394.32,3874.07","7260.11,5662.45","6116.63,6288.99","7064.56,2154.67","4949.15,3376.51","3951.68,5613.9","3082.76,5114.46","4453.57,1584.55","4701.59,4929.74","4442.83,6651.79","6848.76,2197.15","5957.21,5177.08","7623.58,5780.4","6888.03,6786.01","7284.99,958.44","7789.0,5498.93","7275.01,2969.78","3182.28,5193.21"
448,"7067.25,4270.51","7109.5,2942.35","7030.32,5648.83","6064.08,5312.53","5863.16,4522.99","10394.32,3874.07","7205.19,5597.08","6038.23,6214.8","7023.62,2239.26","4898.11,3433.98","3957.7,5655.94","3111.44,5122.87","4398.12,1667.45","4693.08,4942.93","4416.35,6576.95","6802.68,2263.11","5916.99,5156.22","7560.84,5695.89","6866.12,6675.27","7218.68,1081.05","7715.05,5460.31","7208.69,3053.99","3204.25,5169.01"
449,"7066.57,4312.48","7138.14,2898.72","7050.0,5702.31","6039.14,5375.9","5828.62,4551.7","10394.32,3874.07","7206.33,5664.82","5966.47,6276.78","7048.96,2188.67","4860.61,3460.41","3902.3,5745.38","3097.44,5146.19","4356.38,1671.71","4661.75,4976.6","4385.95,6631.39","6817.84,2197.49","5905.9,5201.42","7558.81,5736.49","6864.33,6746.47","7260.86,914.28","7727.17,5514.64","7179.54,3059.6","3207.22,5156.4"
